date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2022/02/15,CORN,Sep,2022,3682,ZAR/Ton,ZAR,1,1,JSE
2021/08/30,CORN,Sep,2021,3200,ZAR/Ton,ZAR,351,228,JSE
2021/08/27,CORN,Sep,2021,3221,ZAR/Ton,ZAR,31,175,JSE
2021/08/26,CORN,Sep,2021,3230,ZAR/Ton,ZAR,2,178,JSE
2021/08/25,CORN,Sep,2021,3197,ZAR/Ton,ZAR,17,178,JSE
2021/08/24,CORN,Sep,2021,3237,ZAR/Ton,ZAR,,178,JSE
2021/08/23,CORN,Sep,2021,3265,ZAR/Ton,ZAR,,178,JSE
2021/08/20,CORN,Sep,2021,3328,ZAR/Ton,ZAR,,178,JSE
2021/08/19,CORN,Sep,2021,3313,ZAR/Ton,ZAR,,178,JSE
2021/08/18,CORN,Sep,2021,3295,ZAR/Ton,ZAR,54,178,JSE
2021/08/17,CORN,Sep,2021,3325,ZAR/Ton,ZAR,7,215,JSE
2021/08/16,CORN,Sep,2021,3305,ZAR/Ton,ZAR,423,603,JSE
2021/08/13,CORN,Sep,2021,3298,ZAR/Ton,ZAR,70,623,JSE
2021/08/12,CORN,Sep,2021,3229,ZAR/Ton,ZAR,5,652,JSE
2021/08/11,CORN,Sep,2021,3249,ZAR/Ton,ZAR,315,657,JSE
2021/08/10,CORN,Sep,2021,3186,ZAR/Ton,ZAR,441,1058,JSE
2021/08/06,CORN,Sep,2021,3179,ZAR/Ton,ZAR,54,1128,JSE
2021/08/05,CORN,Sep,2021,3125,ZAR/Ton,ZAR,55,1128,JSE
2021/08/04,CORN,Sep,2021,3110,ZAR/Ton,ZAR,61,1151,JSE
2021/08/03,CORN,Sep,2021,3143,ZAR/Ton,ZAR,61,1179,JSE
2021/08/02,CORN,Sep,2021,3103,ZAR/Ton,ZAR,49,1209,JSE
2021/07/30,CORN,Sep,2021,3203,ZAR/Ton,ZAR,26,1219,JSE
2021/07/29,CORN,Sep,2021,3195,ZAR/Ton,ZAR,111,1218,JSE
2021/07/28,CORN,Sep,2021,3201,ZAR/Ton,ZAR,26,1279,JSE
2021/07/27,CORN,Sep,2021,3270,ZAR/Ton,ZAR,2,1302,JSE
2021/07/26,CORN,Sep,2021,3205,ZAR/Ton,ZAR,8,1304,JSE
2021/07/23,CORN,Sep,2021,3270,ZAR/Ton,ZAR,4,1304,JSE
2021/07/22,CORN,Sep,2021,3210,ZAR/Ton,ZAR,48,1304,JSE
2021/07/21,CORN,Sep,2021,3328,ZAR/Ton,ZAR,71,1325,JSE
2021/07/20,CORN,Sep,2021,3238,ZAR/Ton,ZAR,9,1295,JSE
