date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2021/05/12,SOYB,May,2021,7601,ZAR/Ton,ZAR,840,1501,JSE
2021/05/11,SOYB,May,2021,7443,ZAR/Ton,ZAR,1111,1738,JSE
2021/05/10,SOYB,May,2021,7532,ZAR/Ton,ZAR,905,2046,JSE
2021/05/07,SOYB,May,2021,7658,ZAR/Ton,ZAR,972,2380,JSE
2021/05/06,SOYB,May,2021,7541,ZAR/Ton,ZAR,1341,2333,JSE
2021/05/05,SOYB,May,2021,7531,ZAR/Ton,ZAR,2810,3080,JSE
2021/05/04,SOYB,May,2021,7385,ZAR/Ton,ZAR,2940,3470,JSE
2021/05/03,SOYB,May,2021,7428,ZAR/Ton,ZAR,1042,4918,JSE
2021/04/30,SOYB,May,2021,7224,ZAR/Ton,ZAR,2387,5001,JSE
2021/04/29,SOYB,May,2021,7175,ZAR/Ton,ZAR,1793,5797,JSE
2021/04/28,SOYB,May,2021,7205,ZAR/Ton,ZAR,2062,6282,JSE
2021/04/26,SOYB,May,2021,7275,ZAR/Ton,ZAR,750,6552,JSE
2021/04/23,SOYB,May,2021,7232,ZAR/Ton,ZAR,2040,6981,JSE
2021/04/22,SOYB,May,2021,7275,ZAR/Ton,ZAR,1598,7172,JSE
2021/04/21,SOYB,May,2021,7232,ZAR/Ton,ZAR,2831,7025,JSE
2021/04/20,SOYB,May,2021,7181,ZAR/Ton,ZAR,1277,7792,JSE
2021/04/19,SOYB,May,2021,7043,ZAR/Ton,ZAR,1500,7534,JSE
2021/04/16,SOYB,May,2021,6991,ZAR/Ton,ZAR,1045,7291,JSE
2021/04/15,SOYB,May,2021,7033,ZAR/Ton,ZAR,1680,7195,JSE
2021/04/14,SOYB,May,2021,7107,ZAR/Ton,ZAR,1131,7071,JSE
2021/04/13,SOYB,May,2021,7115,ZAR/Ton,ZAR,1199,7119,JSE
2021/04/12,SOYB,May,2021,7098,ZAR/Ton,ZAR,1416,7164,JSE
2021/04/09,SOYB,May,2021,7205,ZAR/Ton,ZAR,1629,7247,JSE
2021/04/08,SOYB,May,2021,7108,ZAR/Ton,ZAR,1966,6684,JSE
2021/04/07,SOYB,May,2021,7216,ZAR/Ton,ZAR,1232,6382,JSE
2021/04/06,SOYB,May,2021,7268,ZAR/Ton,ZAR,1339,6412,JSE
2021/04/01,SOYB,May,2021,7368,ZAR/Ton,ZAR,729,6375,JSE
2021/03/31,SOYB,May,2021,7218,ZAR/Ton,ZAR,1758,6389,JSE
2021/03/30,SOYB,May,2021,7361,ZAR/Ton,ZAR,2841,6347,JSE
2021/03/29,SOYB,May,2021,7511,ZAR/Ton,ZAR,1130,6280,JSE
2021/03/26,SOYB,May,2021,7635,ZAR/Ton,ZAR,460,6341,JSE
2021/03/25,SOYB,May,2021,7710,ZAR/Ton,ZAR,509,6324,JSE
2021/03/24,SOYB,May,2021,7703,ZAR/Ton,ZAR,751,6262,JSE
2021/03/23,SOYB,May,2021,7662,ZAR/Ton,ZAR,1309,6347,JSE
2021/03/19,SOYB,May,2021,7600,ZAR/Ton,ZAR,610,6167,JSE
2021/03/18,SOYB,May,2021,7662,ZAR/Ton,ZAR,867,6257,JSE
2021/03/17,SOYB,May,2021,7771,ZAR/Ton,ZAR,286,6244,JSE
2021/03/16,SOYB,May,2021,7795,ZAR/Ton,ZAR,628,6266,JSE
2021/03/15,SOYB,May,2021,7814,ZAR/Ton,ZAR,346,6155,JSE
2021/03/12,SOYB,May,2021,7902,ZAR/Ton,ZAR,203,6163,JSE
