date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2007/08/28,WEAT,Sep,2007,3115,ZAR/Ton,ZAR,,3260,JSE
2007/08/27,WEAT,Sep,2007,3120,ZAR/Ton,ZAR,,3278,JSE
2007/08/24,WEAT,Sep,2007,3150,ZAR/Ton,ZAR,,4002,JSE
2007/08/23,WEAT,Sep,2007,3140,ZAR/Ton,ZAR,,4219,JSE
2007/08/22,WEAT,Sep,2007,3170,ZAR/Ton,ZAR,,4250,JSE
2007/08/21,WEAT,Sep,2007,3181,ZAR/Ton,ZAR,,4283,JSE
2007/08/20,WEAT,Sep,2007,3152,ZAR/Ton,ZAR,,4286,JSE
2007/08/17,WEAT,Sep,2007,3175,ZAR/Ton,ZAR,,4287,JSE
2007/08/16,WEAT,Sep,2007,3188,ZAR/Ton,ZAR,,4364,JSE
2007/08/15,WEAT,Sep,2007,3175,ZAR/Ton,ZAR,,4349,JSE
2007/08/14,WEAT,Sep,2007,3110,ZAR/Ton,ZAR,,4347,JSE
2007/08/13,WEAT,Sep,2007,3085,ZAR/Ton,ZAR,,4498,JSE
2007/08/10,WEAT,Sep,2007,3045,ZAR/Ton,ZAR,,4462,JSE
2007/08/08,WEAT,Sep,2007,3000,ZAR/Ton,ZAR,,4462,JSE
2007/08/07,WEAT,Sep,2007,3002,ZAR/Ton,ZAR,,4456,JSE
2007/08/06,WEAT,Sep,2007,2990,ZAR/Ton,ZAR,,4483,JSE
2007/08/03,WEAT,Sep,2007,3002,ZAR/Ton,ZAR,,4493,JSE
2007/08/02,WEAT,Sep,2007,2970,ZAR/Ton,ZAR,,4181,JSE
2007/08/01,WEAT,Sep,2007,2958,ZAR/Ton,ZAR,,4262,JSE
2007/07/31,WEAT,Sep,2007,2930,ZAR/Ton,ZAR,,4242,JSE
2007/07/30,WEAT,Sep,2007,2936,ZAR/Ton,ZAR,,4149,JSE
2007/07/27,WEAT,Sep,2007,2891,ZAR/Ton,ZAR,,4175,JSE
2007/07/26,WEAT,Sep,2007,2846,ZAR/Ton,ZAR,,4200,JSE
2007/07/25,WEAT,Sep,2007,2850,ZAR/Ton,ZAR,,4265,JSE
2007/07/24,WEAT,Sep,2007,2815,ZAR/Ton,ZAR,,4544,JSE
2007/07/23,WEAT,Sep,2007,2770,ZAR/Ton,ZAR,,4601,JSE
2007/07/20,WEAT,Sep,2007,2755,ZAR/Ton,ZAR,,4749,JSE
2007/07/19,WEAT,Sep,2007,2760,ZAR/Ton,ZAR,,4766,JSE
2007/07/18,WEAT,Sep,2007,2742,ZAR/Ton,ZAR,,4738,JSE
2007/07/17,WEAT,Sep,2007,2697,ZAR/Ton,ZAR,,5005,JSE
2007/07/16,WEAT,Sep,2007,2652,ZAR/Ton,ZAR,,4958,JSE
2007/07/13,WEAT,Sep,2007,2622,ZAR/Ton,ZAR,,4901,JSE
2007/07/12,WEAT,Sep,2007,2600,ZAR/Ton,ZAR,,4892,JSE
2007/07/11,WEAT,Sep,2007,2581,ZAR/Ton,ZAR,,5213,JSE
2007/07/10,WEAT,Sep,2007,2570,ZAR/Ton,ZAR,,5470,JSE
2007/07/09,WEAT,Sep,2007,2565,ZAR/Ton,ZAR,,5524,JSE
2007/07/06,WEAT,Sep,2007,2580,ZAR/Ton,ZAR,,5680,JSE
2007/07/05,WEAT,Sep,2007,2540,ZAR/Ton,ZAR,,5727,JSE
2007/07/04,WEAT,Sep,2007,2500,ZAR/Ton,ZAR,,5787,JSE
2007/07/03,WEAT,Sep,2007,2500,ZAR/Ton,ZAR,,5686,JSE
2007/07/02,WEAT,Sep,2007,2509,ZAR/Ton,ZAR,,5662,JSE
2007/06/29,WEAT,Sep,2007,2488,ZAR/Ton,ZAR,,5649,JSE
2007/06/28,WEAT,Sep,2007,2443,ZAR/Ton,ZAR,,5612,JSE
2007/06/27,WEAT,Sep,2007,2443,ZAR/Ton,ZAR,,5636,JSE
2007/06/26,WEAT,Sep,2007,2398,ZAR/Ton,ZAR,,5635,JSE
2007/06/25,WEAT,Sep,2007,2375,ZAR/Ton,ZAR,,2733,JSE
2007/06/22,WEAT,Sep,2007,2400,ZAR/Ton,ZAR,,2641,JSE
2007/06/21,WEAT,Sep,2007,2405,ZAR/Ton,ZAR,,2569,JSE
