date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2021/12/02,SUNS,Dec,2021,11084,ZAR/Ton,ZAR,292,527,JSE
2021/12/01,SUNS,Dec,2021,11050,ZAR/Ton,ZAR,229,642,JSE
2021/11/30,SUNS,Dec,2021,11232,ZAR/Ton,ZAR,331,741,JSE
2021/11/29,SUNS,Dec,2021,11313,ZAR/Ton,ZAR,71,879,JSE
2021/11/26,SUNS,Dec,2021,11385,ZAR/Ton,ZAR,98,907,JSE
2021/11/25,SUNS,Dec,2021,11170,ZAR/Ton,ZAR,74,963,JSE
2021/11/24,SUNS,Dec,2021,11140,ZAR/Ton,ZAR,382,1019,JSE
2021/11/23,SUNS,Dec,2021,11039,ZAR/Ton,ZAR,638,1194,JSE
2021/11/22,SUNS,Dec,2021,10995,ZAR/Ton,ZAR,273,1170,JSE
2021/11/19,SUNS,Dec,2021,10873,ZAR/Ton,ZAR,299,1169,JSE
2021/11/18,SUNS,Dec,2021,10851,ZAR/Ton,ZAR,614,1209,JSE
2021/11/17,SUNS,Dec,2021,10841,ZAR/Ton,ZAR,549,1406,JSE
2021/11/16,SUNS,Dec,2021,10655,ZAR/Ton,ZAR,597,1539,JSE
2021/11/15,SUNS,Dec,2021,10731,ZAR/Ton,ZAR,426,1788,JSE
2021/11/12,SUNS,Dec,2021,10740,ZAR/Ton,ZAR,155,1719,JSE
2021/11/11,SUNS,Dec,2021,10860,ZAR/Ton,ZAR,93,1765,JSE
2021/11/10,SUNS,Dec,2021,10855,ZAR/Ton,ZAR,296,1813,JSE
2021/11/09,SUNS,Dec,2021,10719,ZAR/Ton,ZAR,240,1846,JSE
2021/11/08,SUNS,Dec,2021,10758,ZAR/Ton,ZAR,142,1866,JSE
2021/11/05,SUNS,Dec,2021,10823,ZAR/Ton,ZAR,101,1879,JSE
2021/11/04,SUNS,Dec,2021,10790,ZAR/Ton,ZAR,224,1879,JSE
2021/11/03,SUNS,Dec,2021,10850,ZAR/Ton,ZAR,196,1916,JSE
2021/11/02,SUNS,Dec,2021,10906,ZAR/Ton,ZAR,294,1968,JSE
2021/10/29,SUNS,Dec,2021,10868,ZAR/Ton,ZAR,165,2061,JSE
2021/10/28,SUNS,Dec,2021,10806,ZAR/Ton,ZAR,196,2084,JSE
2021/10/27,SUNS,Dec,2021,10586,ZAR/Ton,ZAR,95,2150,JSE
2021/10/26,SUNS,Dec,2021,10575,ZAR/Ton,ZAR,216,2162,JSE
2021/10/25,SUNS,Dec,2021,10620,ZAR/Ton,ZAR,694,2231,JSE
2021/10/22,SUNS,Dec,2021,10712,ZAR/Ton,ZAR,436,2532,JSE
2021/10/21,SUNS,Dec,2021,10772,ZAR/Ton,ZAR,689,2547,JSE
2021/10/20,SUNS,Dec,2021,10977,ZAR/Ton,ZAR,514,2648,JSE
2021/10/19,SUNS,Dec,2021,10823,ZAR/Ton,ZAR,500,2664,JSE
2021/10/18,SUNS,Dec,2021,10603,ZAR/Ton,ZAR,183,2709,JSE
2021/10/15,SUNS,Dec,2021,10561,ZAR/Ton,ZAR,110,2722,JSE
2021/10/14,SUNS,Dec,2021,10546,ZAR/Ton,ZAR,327,2722,JSE
2021/10/13,SUNS,Dec,2021,10510,ZAR/Ton,ZAR,166,2793,JSE
2021/10/12,SUNS,Dec,2021,10456,ZAR/Ton,ZAR,416,2802,JSE
